,no_protease,c_0.000M,c_0.421M,c_0.842M,c_1.263M,c_1.684M,c_2.105M,c_2.526M,c_2.947M,c_3.368M,c_3.789M,c_4.211M,c_4.632M,c_5.053M,c_5.474M,c_5.895M,c_6.316M,c_6.737M,c_7.158M,c_7.579M,c_8.000M
prot_004596,47,32,64,61,54,39,65,24,14,4,2,1,0,1,0,0,0,0,1,0,0
prot_004597,95,46,44,26,12,0,1,0,0,0,0,0,0,5,5,1,0,4,0,10,0
prot_004598,65,51,79,63,70,35,16,7,4,2,3,2,0,0,0,1,0,0,1,8,3
prot_004599,59,45,66,70,80,38,49,26,9,4,3,8,0,0,9,0,5,1,0,0,0
prot_004600,79,64,134,115,136,79,141,91,37,12,3,0,0,2,6,0,2,0,0,26,0
prot_004601,85,61,129,102,130,72,176,154,156,213,234,315,257,211,126,65,19,0,1,7,0
prot_004602,81,81,136,109,135,76,157,143,158,196,258,304,303,382,533,647,621,447,309,175,70
prot_004603,79,62,118,108,119,85,177,184,145,179,149,158,55,39,9,0,12,3,0,12,5
prot_004604,93,78,136,123,117,94,197,208,173,207,218,211,103,65,27,9,0,3,0,0,0
prot_004605,103,79,134,85,67,29,17,10,6,0,0,0,0,0,9,0,0,8,6,0,7
prot_004606,148,139,189,183,214,156,263,284,295,385,459,580,619,709,940,1052,786,604,387,281,69
prot_004607,55,27,39,28,11,5,4,2,0,0,0,2,0,3,0,0,0,3,0,8,6
prot_004608,130,40,16,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,34
prot_004609,28,19,28,35,42,29,51,58,67,70,80,121,88,131,187,211,216,185,141,109,52
prot_004610,100,90,139,131,153,94,182,199,195,236,290,344,283,193,105,64,24,8,0,0,3
prot_004611,65,56,79,32,19,3,2,1,2,0,0,0,0,0,0,1,0,0,4,12,0
prot_004612,109,78,124,157,188,121,219,229,224,232,220,148,67,16,11,10,0,0,11,0,0
prot_004613,131,110,176,178,223,128,169,113,68,22,14,8,1,7,0,3,0,0,7,23,0
prot_004614,96,67,96,44,12,1,1,0,0,0,0,8,0,0,2,0,0,14,0,0,0
prot_004615,85,65,94,72,47,12,11,4,3,0,0,0,0,2,0,1,0,0,0,0,0
prot_004616,71,11,14,9,4,0,1,0,0,0,0,2,0,2,0,0,0,0,5,2,0
prot_004617,60,65,80,92,87,53,114,126,115,85,62,36,21,7,1,3,5,4,0,1,8
prot_004618,142,95,182,183,186,88,80,21,1,3,0,3,2,2,0,0,3,8,0,32,0
prot_004619,69,53,90,80,97,63,131,160,107,124,92,86,53,24,12,11,14,0,0,6,12
prot_004620,43,23,31,15,13,5,3,2,1,0,1,1,0,0,2,5,0,3,2,0,0
prot_004621,104,82,134,148,181,91,191,200,194,240,318,406,324,369,225,132,54,20,9,16,16
prot_004622,99,76,120,126,151,100,188,234,218,257,200,204,141,63,33,30,16,1,0,25,0
prot_004623,90,83,137,106,136,69,197,192,166,233,266,300,352,403,489,619,532,330,241,121,65
prot_004624,59,11,12,0,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,9
prot_004625,66,53,90,89,108,60,162,138,140,138,167,162,126,90,54,26,6,4,11,0,10
prot_004626,49,35,62,56,50,52,100,101,97,134,147,176,177,236,296,461,519,505,628,694,553
prot_004627,89,79,112,109,125,56,64,51,24,21,8,1,0,0,0,0,3,5,0,0,0
prot_004628,40,20,19,8,3,2,0,0,0,0,2,0,0,0,0,3,0,0,0,4,2
prot_004629,101,78,126,66,29,7,7,7,1,3,1,0,5,0,0,6,7,0,15,12,0
prot_004630,93,40,87,60,49,19,12,11,2,0,0,3,0,0,0,1,0,0,0,0,5
prot_004631,132,128,199,143,218,144,214,212,159,115,67,54,16,19,3,0,0,0,5,0,14
prot_004632,99,68,102,94,75,36,33,17,11,1,1,0,5,1,1,3,0,12,2,3,0
prot_004633,52,34,50,26,11,8,1,2,0,0,0,2,0,0,3,1,0,0,1,0,7
prot_004634,28,18,44,40,35,30,60,72,53,62,68,107,64,73,55,38,15,8,2,0,0
prot_004635,55,2,4,2,1,0,0,0,1,3,0,0,0,5,1,1,4,1,0,0,0
prot_004636,137,112,159,150,183,89,120,55,28,19,19,13,4,0,2,0,13,0,8,0,2
prot_004637,88,65,146,116,129,105,177,186,206,203,238,258,221,197,90,70,24,12,8,8,0
prot_004638,106,37,39,25,9,3,1,0,0,0,0,0,0,0,0,0,0,9,11,0,0
prot_004639,76,38,32,9,4,1,0,1,0,0,0,0,0,1,0,0,1,7,0,3,0
prot_004640,75,41,51,27,9,3,1,4,0,1,0,0,0,0,0,0,8,9,18,0,0
prot_004641,40,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,5,2
prot_004642,114,99,148,115,163,90,145,68,21,5,2,8,0,0,1,3,5,11,0,26,0
prot_004643,53,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,3
prot_004644,23,11,36,10,14,4,4,0,2,2,0,3,1,0,0,0,0,0,0,3,0
prot_004645,209,166,274,264,323,227,363,432,445,574,554,613,299,67,24,17,11,0,0,18,0
prot_004646,81,59,100,113,144,85,180,154,159,169,276,329,323,364,515,633,528,313,244,171,46
prot_004647,85,57,55,34,20,2,1,0,1,0,0,1,0,3,0,0,0,1,0,0,0
prot_004648,37,27,53,32,21,5,6,0,0,0,0,0,0,0,1,2,4,0,0,0,4
prot_004649,87,85,128,117,149,80,119,73,33,23,2,2,2,0,20,0,0,4,0,11,10
prot_004650,106,76,147,136,169,105,182,209,209,267,282,275,107,47,28,6,3,3,0,0,0
prot_004651,63,47,93,84,103,89,138,126,138,148,180,227,220,336,351,415,292,168,121,69,11
prot_004652,107,23,14,14,3,1,1,0,0,0,0,1,0,0,0,0,0,4,10,0,0
prot_004653,110,28,37,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
prot_004654,108,68,169,141,162,57,74,19,7,4,1,1,0,0,0,0,12,0,3,10,0
prot_004655,22,14,25,33,36,23,42,50,34,71,75,89,77,112,124,142,106,64,40,13,22
prot_004656,45,39,67,54,71,49,77,86,83,115,135,189,190,212,262,330,307,232,173,134,59
prot_004657,165,32,25,7,0,0,0,0,0,0,1,0,0,3,4,4,0,0,10,10,0
prot_004658,89,63,117,112,134,93,176,159,131,108,49,29,2,4,8,0,0,1,14,0,0
prot_004659,80,30,18,20,8,1,5,0,0,0,0,2,0,1,0,3,9,2,0,0,0
prot_004660,62,39,78,69,100,61,138,105,94,74,42,19,6,0,0,2,0,2,3,14,3
prot_004661,62,51,85,79,99,60,136,98,110,156,176,246,254,258,248,195,69,28,10,18,0
prot_004662,128,104,172,153,192,122,206,113,57,24,15,10,1,3,0,0,0,9,0,7,0
prot_004663,135,21,13,3,2,0,0,3,0,0,1,0,0,1,0,4,2,14,4,6,0
prot_004664,137,119,200,168,221,151,275,220,196,131,87,53,12,18,9,1,0,8,0,0,0
prot_004665,81,79,105,113,130,46,56,33,7,1,3,0,5,6,4,3,1,1,15,3,0
prot_004666,92,80,132,102,140,82,165,197,192,216,273,387,344,419,571,833,969,755,912,1068,805
prot_004667,64,46,77,63,55,19,26,6,0,3,0,0,0,0,0,1,4,2,0,2,1
prot_004668,44,31,46,63,58,44,85,83,89,110,123,177,159,156,124,99,32,5,6,0,0
prot_004669,41,40,52,36,39,15,28,9,14,8,3,4,1,2,0,0,0,0,0,0,0
prot_004670,141,58,36,13,5,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
prot_004671,79,69,92,55,38,12,12,5,6,0,0,0,0,1,1,0,1,0,2,0,0
prot_004672,97,3,0,0,0,0,0,0,1,0,0,1,3,1,1,2,0,0,2,0,0
prot_004673,90,68,73,53,29,7,3,0,1,0,4,0,0,2,0,0,0,1,16,14,0
prot_004674,84,76,105,111,124,80,147,196,164,221,214,225,151,82,49,49,21,0,3,1,0
prot_004675,96,26,22,12,5,3,0,1,0,1,0,0,4,3,1,12,3,12,0,0,0
prot_004676,91,17,15,6,3,3,5,4,0,0,4,0,1,3,1,0,0,3,0,0,3
prot_004677,67,17,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,9,0
prot_004678,121,15,11,7,0,2,0,0,0,0,0,2,1,0,0,0,11,9,8,10,0
prot_004679,70,65,93,98,115,65,151,135,117,167,201,251,180,96,55,32,18,5,2,0,0
prot_004680,86,63,113,115,130,77,151,155,201,237,274,306,343,383,556,817,855,891,1002,1417,672
prot_004681,42,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,10,3
prot_004682,71,62,94,100,111,67,116,137,117,167,221,294,235,317,399,532,550,488,374,366,176
prot_004683,52,45,74,58,63,63,115,117,109,131,154,193,195,210,236,210,167,83,35,5,18
prot_004684,87,61,117,114,115,113,190,170,171,240,255,377,366,411,516,774,767,632,538,407,164
prot_004685,117,100,153,130,114,36,20,14,4,1,0,1,2,0,1,0,0,10,0,24,0
prot_004686,104,87,100,46,24,6,0,0,1,0,0,0,0,0,0,0,0,0,7,0,3
prot_004687,186,163,257,264,296,184,287,174,118,86,34,13,4,0,0,12,0,5,0,0,0
prot_004688,121,89,166,164,205,110,227,250,254,305,388,507,472,516,760,949,979,925,945,701,343
prot_004689,73,59,97,87,120,80,142,132,141,179,199,284,240,289,382,342,204,126,59,67,22
prot_004690,80,48,103,109,132,86,137,100,106,72,44,25,7,8,3,0,0,0,0,10,1
prot_004691,97,61,63,17,15,0,0,0,0,0,0,0,2,7,0,1,5,7,0,3,49
prot_004692,113,89,157,119,190,111,223,240,232,266,234,170,80,41,18,11,1,13,0,5,0
prot_004693,51,63,76,68,80,54,100,96,120,145,153,169,122,58,37,20,2,3,4,0,0
prot_004694,103,88,158,120,164,68,98,58,28,7,6,0,4,0,0,10,0,0,0,6,0
prot_004695,53,40,62,70,77,66,113,121,115,126,126,110,70,41,16,9,4,0,1,0,8
prot_004696,88,72,119,118,84,55,49,12,12,6,0,0,0,0,2,2,0,0,0,0,0
prot_004697,123,98,180,165,196,121,199,181,113,76,53,38,4,5,1,0,0,0,14,0,0
prot_004698,102,74,157,126,154,88,176,152,128,114,67,38,15,9,6,10,2,0,0,13,0
prot_004699,28,20,32,35,35,22,67,71,45,74,84,96,107,123,148,140,99,75,32,29,11
prot_004700,42,32,48,54,63,46,81,112,83,103,116,167,149,207,265,380,405,431,449,425,328
prot_004701,101,95,127,112,118,97,110,82,43,15,7,3,1,0,0,0,0,0,0,5,7
prot_004702,30,21,40,42,37,17,25,7,4,1,2,0,0,0,2,0,0,0,0,0,2
prot_004703,103,87,139,157,109,69,44,23,8,6,7,0,0,0,6,17,0,0,14,0,0
prot_004704,110,23,15,7,2,0,1,0,1,0,2,2,0,1,7,6,0,1,2,0,1
prot_004705,117,95,148,105,86,33,16,9,2,6,2,0,0,1,0,3,0,2,9,10,0
prot_004706,74,5,5,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0
prot_004707,91,76,119,100,107,80,87,60,37,16,7,3,0,5,0,0,0,0,0,10,14
prot_004708,86,33,20,17,5,5,6,1,1,0,0,1,0,0,6,1,0,6,7,0,3
prot_004709,50,41,53,48,47,23,21,8,5,2,0,0,0,0,0,7,1,0,5,0,1
prot_004710,102,83,147,129,155,97,220,210,175,269,258,257,119,50,21,13,0,4,5,3,5
prot_004711,134,118,145,87,75,34,35,13,4,5,0,5,0,0,3,1,0,0,0,9,0
prot_004712,116,91,173,133,148,112,154,115,39,5,0,0,0,0,0,0,6,3,7,0,6
prot_004713,73,59,117,95,112,85,147,144,147,179,232,302,281,341,420,488,424,270,146,97,25
prot_004714,109,80,156,134,172,113,201,162,122,111,45,26,6,3,0,2,0,0,0,0,5
prot_004715,103,64,62,33,25,4,4,3,1,3,0,0,0,0,3,5,0,12,0,10,0
prot_004716,131,87,156,136,91,28,11,2,4,0,2,10,0,0,2,0,2,10,18,0,24
prot_004717,108,84,144,140,163,120,223,191,185,180,140,105,67,28,17,8,3,2,0,3,0
prot_004718,40,27,65,44,59,46,68,45,54,33,22,12,7,6,3,1,2,0,0,0,0
prot_004719,86,32,28,11,9,3,1,1,1,0,0,0,3,0,0,0,0,16,0,0,2
prot_004720,108,84,144,144,158,121,179,113,49,45,12,10,8,0,0,0,1,2,22,0,0
prot_004721,114,106,148,135,175,116,182,168,114,96,33,19,3,6,0,0,0,1,6,0,24
prot_004722,102,102,86,80,52,12,11,3,0,0,6,0,2,4,0,0,1,0,2,0,0
prot_004723,163,133,223,212,235,164,357,275,311,321,249,172,88,51,30,38,4,0,0,0,0
prot_004724,46,5,8,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0
prot_004725,96,74,125,92,118,47,65,34,12,13,7,1,1,0,0,0,0,0,24,1,2
prot_004726,91,70,117,116,136,82,185,170,185,264,286,349,345,385,467,444,335,169,106,108,20
prot_004727,95,81,104,62,35,7,7,6,0,0,0,0,3,2,5,0,0,4,0,0,0
prot_004728,127,118,172,154,204,127,239,283,229,136,80,29,13,0,4,2,1,0,0,0,34
prot_004729,53,43,76,53,61,43,40,8,4,2,3,2,0,3,0,0,3,3,0,8,0
prot_004730,127,108,164,130,85,36,26,23,0,5,6,2,4,0,4,0,5,0,0,29,0
prot_004731,110,92,145,158,176,108,195,210,229,297,315,469,400,448,481,622,340,140,56,21,7
prot_004732,75,53,99,78,81,29,37,16,4,3,2,0,0,0,0,0,5,8,0,0,0
prot_004733,50,30,43,25,21,8,11,12,5,2,1,2,0,0,0,0,0,0,0,0,0
prot_004734,72,43,104,78,95,67,139,160,155,173,230,256,274,334,476,529,557,349,266,212,71
prot_004735,79,61,108,100,123,92,165,160,172,203,234,312,268,251,224,138,103,51,27,14,10
prot_004736,83,78,110,114,124,90,173,186,167,180,244,304,249,286,274,222,158,90,30,47,12
prot_004737,57,4,0,3,0,3,0,1,0,1,0,0,1,0,3,0,0,8,4,0,0
prot_004738,83,20,19,5,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,9
prot_004739,78,52,109,93,142,82,147,168,126,179,214,245,218,220,143,128,73,72,45,2,11
prot_004740,131,87,82,47,32,12,13,4,0,0,2,0,0,1,0,0,3,9,3,12,0
prot_004741,137,78,90,29,20,5,0,0,0,0,1,0,1,1,0,14,0,5,0,24,8
prot_004742,56,41,85,67,99,52,105,119,134,156,159,211,195,270,382,502,579,446,451,476,260
prot_004743,52,40,62,52,37,12,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0
prot_004744,122,12,7,7,7,1,7,1,5,0,1,3,0,0,3,0,0,0,0,0,3
prot_004745,86,0,5,0,0,0,2,0,0,0,0,0,0,2,1,3,2,0,0,0,0
prot_004746,45,41,57,38,63,43,51,41,28,9,6,3,2,0,0,0,0,0,0,0,6
prot_004747,100,82,154,126,170,114,199,192,208,249,254,307,211,156,111,74,55,19,13,13,3
prot_004748,68,51,120,69,117,68,131,141,132,158,193,253,216,209,178,141,39,41,3,16,4
prot_004749,98,30,6,4,1,0,0,0,0,3,0,1,1,0,0,6,8,0,0,0,18
prot_004750,57,31,29,19,7,3,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0
prot_004751,88,80,125,112,117,75,156,76,57,17,8,4,3,0,0,0,0,12,0,0,4
prot_004752,70,51,92,84,95,54,90,59,33,22,11,6,10,0,0,0,0,0,5,14,8
prot_004753,109,88,166,133,175,106,199,157,102,51,27,15,3,0,0,0,8,0,3,1,1
prot_004754,79,72,99,84,129,81,175,148,147,186,223,335,270,320,385,349,217,95,35,0,9
prot_004755,53,49,63,70,73,44,97,80,36,26,8,3,0,0,2,0,3,0,0,0,0
prot_004756,97,83,115,100,110,36,20,7,1,3,0,0,0,0,3,0,0,0,4,0,10
prot_004757,43,37,58,52,62,37,101,100,90,104,114,162,174,184,173,152,67,37,10,0,3
prot_004758,174,21,10,0,2,0,0,0,0,4,2,8,2,0,1,0,0,0,0,41,11
prot_004759,77,62,89,90,110,87,157,157,177,167,140,62,14,1,2,0,0,0,3,0,0
prot_004760,65,48,71,73,98,64,131,91,53,43,12,3,4,2,1,0,0,0,2,0,2
prot_004761,71,74,83,101,109,72,120,119,83,60,41,23,5,0,1,0,0,3,0,1,6
prot_004762,84,70,109,108,145,94,152,168,170,218,235,348,330,357,488,581,420,248,167,71,50
prot_004763,115,110,160,131,165,113,226,242,171,159,116,85,37,24,9,26,10,6,0,0,8
prot_004764,57,37,65,49,59,60,67,51,17,6,5,1,0,1,0,0,0,0,0,0,13
prot_004765,54,47,56,56,58,20,20,13,10,3,1,2,3,1,1,2,1,7,0,1,0
prot_004766,69,64,88,91,102,62,130,138,124,164,201,204,138,99,65,70,19,12,17,0,1
prot_004767,148,135,186,185,220,173,270,283,255,207,155,117,41,26,13,1,0,15,14,0,3
prot_004768,124,72,83,35,18,2,2,0,0,0,0,1,2,0,1,1,0,2,0,2,21
prot_004769,151,126,186,186,262,184,311,341,260,333,215,114,35,9,5,0,0,0,0,0,0
prot_004770,78,58,119,104,126,65,161,152,148,197,221,241,164,147,140,123,42,17,16,3,11
prot_004771,126,90,171,141,88,29,22,4,1,0,0,1,0,0,0,4,2,0,1,30,0
prot_004772,134,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,14
prot_004773,111,81,172,119,168,93,132,83,38,8,15,10,0,1,0,3,14,0,0,0,0
prot_004774,82,5,1,2,0,0,0,0,0,0,1,0,0,5,11,1,3,0,14,0,7
prot_004775,54,10,6,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,8,15,0
prot_004776,154,109,214,185,209,102,109,45,16,3,2,0,0,0,0,0,3,20,19,6,13
prot_004777,71,14,8,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,7,7
prot_004778,89,61,101,56,39,8,9,4,3,0,0,0,0,0,0,6,0,0,0,0,0
prot_004779,95,84,132,122,134,113,189,176,204,219,198,128,65,20,14,14,0,4,7,4,0
prot_004780,47,41,61,39,47,26,25,21,6,6,2,7,2,3,0,0,1,0,1,9,0
prot_004781,84,79,113,116,119,106,155,176,172,206,252,346,324,360,489,793,871,793,760,589,274
prot_004782,102,96,144,131,172,98,188,197,191,237,280,399,244,192,85,24,13,0,1,0,12
prot_004783,68,50,98,78,104,81,126,123,66,26,24,6,0,0,0,1,3,11,0,0,9
prot_004784,66,52,78,76,103,58,132,120,158,170,215,270,242,332,431,619,593,477,387,362,140
prot_004785,157,122,205,188,238,145,306,330,324,372,442,400,189,77,44,16,9,0,0,0,0
prot_004786,55,49,66,55,58,23,44,12,8,11,1,3,3,1,0,1,0,0,0,5,2
prot_004787,51,38,72,67,83,62,83,94,109,140,145,222,183,213,243,253,199,125,74,98,28
prot_004788,57,18,9,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2
prot_004789,111,97,160,138,174,94,225,181,201,243,177,121,63,25,15,0,0,0,9,0,0
prot_004790,96,79,143,133,159,101,182,118,98,81,37,20,4,5,0,8,0,8,4,14,4
prot_004791,95,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,11,0
prot_004792,91,71,114,77,61,24,20,17,6,1,4,1,7,0,8,4,0,0,0,0,0
prot_004793,75,65,121,83,119,73,167,146,139,173,233,266,328,344,457,531,462,271,134,86,27
prot_004794,61,37,80,60,48,22,13,5,0,1,0,0,1,1,2,1,0,2,0,0,1
prot_004795,46,21,21,9,8,0,2,1,2,0,2,2,0,3,0,1,3,0,0,0,13
prot_004796,61,19,32,22,10,4,5,2,0,0,0,0,2,0,1,3,1,1,0,5,2
prot_004797,74,64,108,108,122,68,107,62,43,18,5,10,0,9,1,0,1,5,4,0,0
prot_004798,118,104,151,162,180,120,246,259,223,295,351,474,428,502,695,785,652,458,335,185,90
prot_004799,83,60,98,105,141,103,192,173,169,191,234,349,290,328,422,435,480,237,132,134,66
prot_004800,95,68,139,122,102,56,61,24,3,2,0,0,0,0,7,0,4,0,0,5,0
prot_004801,56,34,26,6,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
prot_004802,249,19,9,3,0,0,1,0,2,0,0,5,0,0,0,2,0,0,0,0,0
prot_004803,64,57,79,87,105,46,77,51,22,7,0,3,0,0,0,8,0,0,0,0,0
prot_004804,75,65,95,100,108,79,151,138,156,191,227,290,301,309,409,325,218,96,66,35,16
prot_004805,127,94,198,163,198,129,282,273,270,338,355,399,297,239,162,125,37,30,2,4,11
prot_004806,79,59,110,96,105,45,81,17,16,6,3,0,0,0,0,0,0,0,0,2,3
prot_004807,62,45,76,93,110,52,137,106,79,132,93,85,57,31,12,23,8,0,0,0,0
prot_004808,116,93,141,154,171,58,64,23,4,0,0,0,0,0,0,0,4,0,0,0,22
prot_004809,52,56,75,76,77,55,101,111,101,118,127,198,140,171,140,149,122,65,59,68,22
prot_004810,157,113,207,193,253,174,302,270,200,165,115,60,30,11,3,1,0,0,5,9,0
prot_004811,85,75,119,112,105,89,161,148,165,168,126,60,35,9,1,10,2,10,0,14,0
prot_004812,65,53,100,79,82,72,108,107,122,70,61,45,18,10,7,4,5,3,8,0,9
prot_004813,44,35,60,47,67,46,96,79,72,113,121,158,111,227,292,353,379,290,260,202,83
prot_004814,45,43,56,68,62,31,44,15,5,3,4,0,0,0,0,0,0,0,0,0,0
prot_004815,64,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,6,22,0
prot_004816,163,107,136,89,75,29,27,19,1,13,7,0,1,10,6,4,4,0,15,0,0
prot_004817,79,63,111,104,121,73,154,114,123,159,98,98,48,30,21,21,6,2,10,7,0
prot_004818,94,84,124,107,141,104,193,173,159,173,171,122,62,60,27,16,2,10,0,14,6
prot_004819,92,63,115,129,145,98,199,154,153,253,227,221,147,133,96,56,30,23,8,23,3
prot_004820,185,157,248,232,298,176,366,415,369,428,511,725,654,860,1035,1130,1027,671,582,445,208
prot_004821,66,46,70,49,58,26,13,5,5,3,2,0,0,0,0,0,0,0,0,0,0
prot_004822,144,112,207,174,209,144,263,287,215,182,92,43,13,2,6,11,0,4,0,0,0
prot_004823,61,51,77,67,105,62,120,116,118,134,151,207,181,123,77,71,21,11,10,9,4
prot_004824,60,49,102,96,70,53,53,33,13,8,4,11,0,5,0,0,5,0,0,0,0
prot_004825,80,67,91,100,110,67,123,85,42,28,19,7,0,0,2,3,0,2,3,4,0
prot_004826,68,34,30,6,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
prot_004827,91,72,123,86,121,32,16,10,2,1,0,1,0,0,3,13,0,0,0,6,0
prot_004828,33,28,44,38,52,29,70,53,62,87,117,144,109,151,191,226,185,130,82,67,29
prot_004829,81,60,97,121,128,84,172,190,158,211,247,259,111,50,25,13,5,0,3,5,0
prot_004830,50,41,68,72,83,45,103,100,82,59,46,19,6,5,2,0,0,0,6,0,9
prot_004831,56,41,52,50,51,19,16,4,0,1,0,0,0,0,4,4,0,1,0,1,10
prot_004832,37,32,62,61,55,45,85,69,69,76,87,69,20,10,6,0,3,6,0,0,7
prot_004833,76,86,97,113,131,85,150,164,149,198,245,181,108,73,41,18,2,0,0,0,0
prot_004834,70,56,96,60,20,3,6,0,0,0,0,1,0,0,0,0,0,2,0,0,2
prot_004835,69,48,84,90,102,67,128,119,140,189,189,241,215,191,124,53,26,7,11,1,7
prot_004836,48,9,3,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,12,0,0
prot_004837,82,1,0,1,0,0,0,0,0,0,1,0,0,2,5,0,0,0,4,0,13
prot_004838,50,12,11,4,0,0,0,1,0,0,0,0,0,2,0,3,2,0,0,0,6
prot_004839,45,12,16,10,2,2,1,0,0,5,3,0,4,0,0,0,0,0,0,0,0
prot_004840,75,59,92,98,116,68,150,166,129,200,233,293,283,325,366,338,243,131,49,25,23
prot_004841,48,31,67,48,30,4,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0
prot_004842,70,57,101,91,47,28,45,36,14,7,5,6,9,0,2,0,0,0,6,0,3
prot_004843,68,56,104,94,109,60,78,41,14,5,6,4,1,1,0,0,2,11,0,7,1
prot_004844,51,41,70,59,52,25,37,6,10,3,1,2,0,0,1,1,0,7,3,9,0
prot_004845,55,51,51,41,41,14,15,8,2,0,1,0,0,0,0,0,1,0,0,0,5
prot_004846,41,13,11,3,1,0,1,1,1,0,0,0,0,0,1,1,0,5,0,0,0
prot_004847,134,103,221,186,179,132,251,222,280,308,277,229,133,56,23,28,1,31,3,17,0
prot_004848,124,36,32,12,5,0,4,0,0,0,0,0,4,1,0,0,1,15,12,0,6
prot_004849,154,116,225,198,251,164,293,275,288,416,464,518,423,319,186,170,54,4,9,0,36
prot_004850,69,34,41,22,15,3,1,1,0,0,4,0,0,0,1,1,0,11,16,0,0
prot_004851,154,111,225,196,252,179,314,279,240,181,59,20,7,2,5,1,3,0,5,0,25
prot_004852,89,56,147,110,129,87,163,156,177,248,268,332,313,338,411,348,223,105,59,50,13
prot_004853,50,17,9,3,3,0,0,0,0,0,0,0,0,0,0,0,7,3,6,16,11
prot_004854,65,19,7,1,2,0,0,1,0,0,3,0,0,0,0,5,7,6,1,0,14
prot_004855,76,66,123,107,111,72,170,146,157,201,225,287,278,334,259,224,73,29,13,14,9
prot_004856,67,52,90,93,103,64,72,52,9,8,1,0,0,0,0,0,2,5,1,0,9
prot_004857,82,72,113,105,112,87,146,148,108,158,94,59,24,10,2,4,5,4,2,0,0
prot_004858,64,1,4,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,3,6
prot_004859,74,45,85,76,58,19,19,9,3,6,1,0,0,1,0,2,0,0,0,2,1
prot_004860,142,101,192,177,179,146,145,64,21,9,1,5,0,0,0,0,0,0,7,23,0
prot_004861,76,56,95,100,105,65,153,146,139,203,225,316,281,368,491,594,681,635,568,595,246
prot_004862,69,48,62,40,25,6,4,1,1,0,2,0,0,2,0,3,0,1,0,0,6
prot_004863,70,60,99,96,116,68,119,132,145,205,203,285,223,302,409,459,406,259,176,154,64
prot_004864,83,79,105,100,129,87,144,140,114,117,73,34,15,8,8,0,0,8,0,0,1
prot_004865,48,17,14,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
prot_004866,52,46,50,47,54,12,26,9,4,1,1,0,1,0,0,0,0,1,0,2,0
prot_004867,210,147,204,115,91,31,19,7,7,4,3,3,0,0,0,1,3,2,5,3,37
prot_004868,40,29,63,52,47,44,87,44,25,20,9,9,3,2,0,1,0,1,0,1,0
prot_004869,78,57,99,87,140,81,141,124,138,143,126,77,22,9,8,19,2,0,2,0,6
prot_004870,93,59,122,119,123,91,115,61,20,15,3,8,0,0,6,1,10,0,11,30,0
prot_004871,132,92,132,84,60,23,22,9,2,4,2,0,1,0,0,2,0,9,0,6,0
prot_004872,93,102,127,111,137,79,169,196,184,262,266,265,167,119,72,38,12,1,9,0,0
prot_004873,174,125,225,212,276,188,306,346,349,395,411,457,241,243,138,120,45,42,0,36,0
prot_004874,71,55,100,84,106,74,122,82,54,21,13,1,1,0,0,1,4,0,1,3,0
prot_004875,131,107,177,188,202,123,227,194,119,57,26,9,1,2,4,2,0,1,0,0,8
prot_004876,125,77,93,41,20,7,6,3,0,1,0,0,0,0,0,0,0,5,2,0,0
prot_004877,157,129,237,205,249,140,324,351,257,351,308,280,129,77,44,7,2,0,0,27,3
prot_004878,78,62,105,93,61,15,10,1,1,0,0,1,0,4,0,0,4,0,1,0,6
prot_004879,95,79,130,93,131,36,56,25,12,4,2,0,0,0,0,0,7,6,3,0,2
prot_004880,58,22,16,8,8,1,0,1,0,0,0,0,0,1,6,1,0,0,0,0,7
prot_004881,96,75,140,108,125,104,157,178,144,101,56,32,10,4,0,4,0,8,0,0,9
prot_004882,84,75,123,113,128,83,154,164,182,205,192,261,214,148,92,64,45,25,25,0,0
prot_004883,36,40,42,41,38,17,19,13,3,2,0,0,0,0,0,0,1,0,0,3,5
